gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1292010154	StillImage	image/jpeg	https://beaty.b-cdn.net/M014689.jpg											
1292010154	StillImage	image/jpeg	https://beaty.b-cdn.net/M014689b.jpg											
1292010154	StillImage	image/jpeg	https://beaty.b-cdn.net/M014689a.jpg											
1292010149	StillImage	image/jpeg	https://beaty.b-cdn.net/M014668.jpg											
1292010149	StillImage	image/jpeg	https://beaty.b-cdn.net/M014668a.jpg											
1292010149	StillImage	image/jpeg	https://beaty.b-cdn.net/M014668b.jpg											
1292010131	StillImage	image/jpeg	https://beaty.b-cdn.net/M014691b.jpg											
1292010131	StillImage	image/jpeg	https://beaty.b-cdn.net/M014691a.jpg											
1292010131	StillImage	image/jpeg	https://beaty.b-cdn.net/M014691.jpg											
1292010117	StillImage	image/jpeg	https://beaty.b-cdn.net/M014688b.jpg											
1292010117	StillImage	image/jpeg	https://beaty.b-cdn.net/M014688a.jpg											
1292010117	StillImage	image/jpeg	https://beaty.b-cdn.net/M014688.jpg											
1292010096	StillImage	image/jpeg	https://beaty.b-cdn.net/M014667b.jpg											
1292010096	StillImage	image/jpeg	https://beaty.b-cdn.net/M014667.jpg											
1292010096	StillImage	image/jpeg	https://beaty.b-cdn.net/M014667a.jpg											
1292010092	StillImage	image/jpeg	https://beaty.b-cdn.net/M014669.jpg											
1292010092	StillImage	image/jpeg	https://beaty.b-cdn.net/M014669a.jpg											
1292010058	StillImage	image/jpeg	https://beaty.b-cdn.net/M014664a.jpg											
1292010058	StillImage	image/jpeg	https://beaty.b-cdn.net/M014664.jpg											
1292010027	StillImage	image/jpeg	https://beaty.b-cdn.net/M014685.jpg											
1292010027	StillImage	image/jpeg	https://beaty.b-cdn.net/M014685a.jpg											
1292010027	StillImage	image/jpeg	https://beaty.b-cdn.net/M014685b.jpg											
1292010022	StillImage	image/jpeg	https://beaty.b-cdn.net/M014662b.jpg											
1292010022	StillImage	image/jpeg	https://beaty.b-cdn.net/M014662a.jpg											
1292010022	StillImage	image/jpeg	https://beaty.b-cdn.net/M014662.jpg											
1292010018	StillImage	image/jpeg	https://beaty.b-cdn.net/M014684.jpg											
1292010018	StillImage	image/jpeg	https://beaty.b-cdn.net/M014684b.jpg											
1292010018	StillImage	image/jpeg	https://beaty.b-cdn.net/M014684a.jpg											
1292010016	StillImage	image/jpeg	https://beaty.b-cdn.net/M014676a.jpg											
1292010016	StillImage	image/jpeg	https://beaty.b-cdn.net/M014676b.jpg											
1292010016	StillImage	image/jpeg	https://beaty.b-cdn.net/M014676.jpg											
1292010005	StillImage	image/jpeg	https://beaty.b-cdn.net/M014663a.jpg											
1292010005	StillImage	image/jpeg	https://beaty.b-cdn.net/M014663b.jpg											
1292010005	StillImage	image/jpeg	https://beaty.b-cdn.net/M014663.jpg											
1292010003	StillImage	image/jpeg	https://beaty.b-cdn.net/M014687.jpg											
1292010003	StillImage	image/jpeg	https://beaty.b-cdn.net/M014687b.jpg											
1292010003	StillImage	image/jpeg	https://beaty.b-cdn.net/M014687a.jpg											
1292010001	StillImage	image/jpeg	https://beaty.b-cdn.net/M014673a.jpg											
1292010001	StillImage	image/jpeg	https://beaty.b-cdn.net/M014673.jpg											
1292009990	StillImage	image/jpeg	https://beaty.b-cdn.net/M014678a.jpg											
1292009990	StillImage	image/jpeg	https://beaty.b-cdn.net/M014678b.jpg											
1292009990	StillImage	image/jpeg	https://beaty.b-cdn.net/M014678.jpg											
1292009989	StillImage	image/jpeg	https://beaty.b-cdn.net/M014670a.jpg											
1292009989	StillImage	image/jpeg	https://beaty.b-cdn.net/M014670b.jpg											
1292009989	StillImage	image/jpeg	https://beaty.b-cdn.net/M014670.jpg											
1292009987	StillImage	image/jpeg	https://beaty.b-cdn.net/M014675a.jpg											
1292009987	StillImage	image/jpeg	https://beaty.b-cdn.net/M014675.jpg											
1292009981	StillImage	image/jpeg	https://beaty.b-cdn.net/M014680b.jpg											
1292009981	StillImage	image/jpeg	https://beaty.b-cdn.net/M014680.jpg											
1292009981	StillImage	image/jpeg	https://beaty.b-cdn.net/M014680a.jpg											
1292009967	StillImage	image/jpeg	https://beaty.b-cdn.net/M014677.jpg											
1292009967	StillImage	image/jpeg	https://beaty.b-cdn.net/M014677a.jpg											
1292009967	StillImage	image/jpeg	https://beaty.b-cdn.net/M014677b.jpg											
1292009965	StillImage	image/jpeg	https://beaty.b-cdn.net/M014671a.jpg											
1292009965	StillImage	image/jpeg	https://beaty.b-cdn.net/M014671b.jpg											
1292009965	StillImage	image/jpeg	https://beaty.b-cdn.net/M014671.jpg											
1292009961	StillImage	image/jpeg	https://beaty.b-cdn.net/M014686.jpg											
1292009961	StillImage	image/jpeg	https://beaty.b-cdn.net/M014686a.jpg											
1292009960	StillImage	image/jpeg	https://beaty.b-cdn.net/M014729a.jpg											
1292009960	StillImage	image/jpeg	https://beaty.b-cdn.net/M014729b.jpg											
1292009960	StillImage	image/jpeg	https://beaty.b-cdn.net/M014729.jpg											
1292009959	StillImage	image/jpeg	https://beaty.b-cdn.net/M014733.jpg											
1292009959	StillImage	image/jpeg	https://beaty.b-cdn.net/M014733a.jpg											
1292009959	StillImage	image/jpeg	https://beaty.b-cdn.net/M014733b.jpg											
1292009958	StillImage	image/jpeg	https://beaty.b-cdn.net/M014681.jpg											
1292009958	StillImage	image/jpeg	https://beaty.b-cdn.net/M014681a.jpg											
1292009958	StillImage	image/jpeg	https://beaty.b-cdn.net/M014681b.jpg											
1292009953	StillImage	image/jpeg	https://beaty.b-cdn.net/M014722b.jpg											
1292009953	StillImage	image/jpeg	https://beaty.b-cdn.net/M014722a.jpg											
1292009953	StillImage	image/jpeg	https://beaty.b-cdn.net/M014722.jpg											
1292009947	StillImage	image/jpeg	https://beaty.b-cdn.net/M014679.jpg											
1292009947	StillImage	image/jpeg	https://beaty.b-cdn.net/M014679a.jpg											
1292009947	StillImage	image/jpeg	https://beaty.b-cdn.net/M014679b.jpg											
1292009941	StillImage	image/jpeg	https://beaty.b-cdn.net/M014721a.jpg											
1292009941	StillImage	image/jpeg	https://beaty.b-cdn.net/M014721.jpg											
1292009941	StillImage	image/jpeg	https://beaty.b-cdn.net/M014721b.jpg											
1292009938	StillImage	image/jpeg	https://beaty.b-cdn.net/M014712a.jpg											
1292009938	StillImage	image/jpeg	https://beaty.b-cdn.net/M014712.jpg											
1292009938	StillImage	image/jpeg	https://beaty.b-cdn.net/M014712b.jpg											
1292009935	StillImage	image/jpeg	https://beaty.b-cdn.net/M014730a.jpg											
1292009935	StillImage	image/jpeg	https://beaty.b-cdn.net/M014730b.jpg											
1292009935	StillImage	image/jpeg	https://beaty.b-cdn.net/M014730.jpg											
1292009934	StillImage	image/jpeg	https://beaty.b-cdn.net/M014703.jpg											
1292009934	StillImage	image/jpeg	https://beaty.b-cdn.net/M014703a.jpg											
1292009928	StillImage	image/jpeg	https://beaty.b-cdn.net/M014698.jpg											
1292009928	StillImage	image/jpeg	https://beaty.b-cdn.net/M014698a.jpg											
1292009926	StillImage	image/jpeg	https://beaty.b-cdn.net/M014732a.jpg											
1292009926	StillImage	image/jpeg	https://beaty.b-cdn.net/M014732.jpg											
1292009925	StillImage	image/jpeg	https://beaty.b-cdn.net/M014706a.jpg											
1292009925	StillImage	image/jpeg	https://beaty.b-cdn.net/M014706b.jpg											
1292009925	StillImage	image/jpeg	https://beaty.b-cdn.net/M014706.jpg											
1292009924	StillImage	image/jpeg	https://beaty.b-cdn.net/M014708.jpg											
1292009924	StillImage	image/jpeg	https://beaty.b-cdn.net/M014708a.jpg											
1292009923	StillImage	image/jpeg	https://beaty.b-cdn.net/M014717a.jpg											
1292009923	StillImage	image/jpeg	https://beaty.b-cdn.net/M014717b.jpg											
